text,created_at
@Reza_Zadeh Less?,2020-12-29T21:45:08.000Z
@ashleevance Westworld,2020-12-29T21:34:43.000Z
The Last Kingdom show is great,2020-12-29T21:32:09.000Z
@jayson32292601 Absolutely. Will be text &amp; visualization  but could add voice too.,2020-12-29T20:56:54.000Z
@sfs_central !! Even cheese is made of cake !!,2020-12-29T20:52:23.000Z
@karpathy If they don’t love us  we’re in deep trouble!,2020-12-29T20:48:22.000Z
Not everything is made of cake https://t.co/oMaCmYQAwx,2020-12-29T20:48:04.000Z
@chicago_glenn True haha,2020-12-29T20:41:18.000Z
Such a weird game when you think about it https://t.co/5MrvVzmeKG,2020-12-29T20:40:49.000Z
This is not CGI https://t.co/VOivE97vPR,2020-12-29T20:37:54.000Z
@BenSullins We need a UI overhaul,2020-12-29T20:12:13.000Z
@Maldivawow @CodingMark @Tesla No  these are just incremental improvements to the production codebase. FSD build is a fundamental rewrite  not just in the car  but also our video training/labeling software.,2020-12-29T19:57:50.000Z
@SpaceNews_Inc Starlink “poses a hazard” to Viasat’s profits  more like it. Stop the sneaky moves  Charlie Ergen!,2020-12-29T11:25:03.000Z
Entertainment will be critical when cars drive themselves,2020-12-28T19:46:18.000Z
@kimpaquette Just meeting with Larry Ellison to seek some advice. Back working on Tesla end of quarter tomorrow.,2020-12-28T18:07:33.000Z
@richierichhhhh_ Absolutely,2020-12-28T17:23:51.000Z
What should Tesla do with in-car gaming in an autonomous world?,2020-12-28T17:23:31.000Z
@PPathole @WSJ Absolutely,2020-12-28T05:39:42.000Z
@Tesmanian_com Taste of the future,2020-12-28T05:38:03.000Z
Try playing Polytopia in your Tesla! Great game. Multiplayer online version coming soon.,2020-12-27T22:18:58.000Z
@WSJ Focus on making products &amp; services people truly love  so that the total economic pie is bigger  instead of engaging in zero-sum/negative-sum corporate power struggles. This is the good future.,2020-12-27T18:35:40.000Z
@ThatDesignGuy @m_siphiw @moosuraj @Tesla Roughly 95% of parts in Tesla Roadster were unique — not in any other product. Unfortunately  since we started out with the (dumb  in retrospect) goal of simply adapting Lotus Elise to electric  we ended up with a 10% too small sports car that seems kinda like a Lotus.,2020-12-27T08:33:28.000Z
@LaurenRow5 @karpathy Yes,2020-12-27T08:05:59.000Z
@engineers_feed Very important,2020-12-27T08:05:17.000Z
@teslaownersSV @lexfridman Ok  service might be able to do this. Will check.,2020-12-27T07:35:29.000Z
@teslaownersSV @lexfridman You mean install the external speaker on earlier cars that don’t have it?,2020-12-27T07:21:32.000Z
@GUNMTLM3 @lexfridman No  but definitely this year,2020-12-27T07:20:41.000Z
@lexfridman Good point,2020-12-27T07:19:32.000Z
@conexionspacial @spacecoast_stve @NASASpaceflight Interesting,2020-12-27T06:00:34.000Z
@flcnhvy Liz has always done great interviews,2020-12-27T02:45:21.000Z
@spacecoast_stve @NASASpaceflight Falcon was 25% of successful orbital launches in 2020  but maybe a majority of payload to orbit. Anyone done the math?,2020-12-27T01:27:07.000Z
@karpathy Vaccines are just the start. It’s also capable in theory of curing almost anything. Turns medicine into a software &amp; simulation problem.,2020-12-27T01:14:17.000Z
@jgrano305 @TeslaTruckClub @jeremyjudkins @JPUConn @jchybow @DirtyTesla Yes,2020-12-26T19:07:24.000Z
@TeslaTruckClub @jeremyjudkins @JPUConn @jchybow @DirtyTesla We will offer multiple display options,2020-12-26T19:06:11.000Z
@IvanEscobosa @Erdayastronaut @teslaownersSV A few more revisions needed. Probably Beta 10 or 11.,2020-12-26T19:04:29.000Z
@Erdayastronaut @teslaownersSV Sure,2020-12-26T18:48:35.000Z
@Erdayastronaut @teslaownersSV Haha ok,2020-12-26T17:48:14.000Z
@kkvr2823 @tesla_adri @teslaownersSV There are subtle  important  differences between US &amp; Canada traffic rules  but FSD beta will be extended to Canada very soon,2020-12-26T16:27:59.000Z
@tesla_adri @teslaownersSV Yes,2020-12-26T16:25:06.000Z
@teslaownersSV We need a “match other traffic speed” setting,2020-12-26T16:23:26.000Z
@stevewoz Definitely,2020-12-25T22:49:24.000Z
@flcnhvy @h3_extrachars It’s a step in that direction,2020-12-25T21:09:35.000Z
@13arm13arm It’s one 🔥 or 1/2 🔥 if you don’t have a car with pedestrian speaker. We couldn’t get everything done in time  but more stuff coming.,2020-12-25T21:08:14.000Z
@westcoastbill The writing on Cobra Kai is sick👌,2020-12-25T21:06:14.000Z
@AfloatHickory Haha I will save you the nightmare of seeing me in those shorts,2020-12-25T20:59:26.000Z
@h3_extrachars You can upload custom music/sounds,2020-12-25T20:58:02.000Z
@jgrano305 Unfortunately  pedestrian speaker is needed  otherwise no external sound generator except actual horn,2020-12-25T20:57:25.000Z
Change your horn sound to 🐐  🐍🎷  💨 or holiday jingles with latest Tesla software update!,2020-12-25T20:54:29.000Z
Merry Christmas &amp; happy holidays! 🎁 https://t.co/uk6NSPwR9R,2020-12-25T16:47:04.000Z
@Tesmanian_com Great game!,2020-12-25T04:07:28.000Z
@harsimranbansal @heydave7 It will most likely make sense for Starlink to go public once the revenue growth is reasonably predictable,2020-12-25T01:07:24.000Z
@heydave7 Engineering  design &amp; general company operations absorb vast majority of my mind &amp; are the fundamental limitation on doing more. Capital allocation is important  but low CPU load. Tesla public company duties are a much bigger factor  but going private is impossible now (sigh).,2020-12-25T00:35:46.000Z
@ElonsWorld @Real_Futurist @lexfridman Yes,2020-12-24T18:15:39.000Z
@flcnhvy @MarcusHouseGame A few months,2020-12-24T10:59:36.000Z
@MarcusHouseGame Coming soon,2020-12-24T10:49:49.000Z
@OLHZN Minor,2020-12-24T01:20:05.000Z
@TrevorMahlmann Yeah,2020-12-24T01:14:17.000Z
12 story rocket turns off its engines &amp; does a controlled fall https://t.co/HCRgyx42rn,2020-12-24T01:12:41.000Z
@Erdayastronaut Yup  we’re just ironing out a few bugs,2020-12-24T00:31:14.000Z
To Tesla owners taking delivery in the final days of year  your support is super appreciated!!,2020-12-24T00:00:41.000Z
@DeepMind @nature Frictionless AI. What could possibly go wrong?,2020-12-23T20:36:05.000Z
@heydave7 Good idea,2020-12-23T17:41:36.000Z
@wintonARK During the darkest days of the Model 3 program  I reached out to Tim Cook to discuss the possibility of Apple acquiring Tesla (for 1/10 of our current value). He refused to take the meeting.,2020-12-22T20:46:12.000Z
@wintonARK Strange  if true. - Tesla already uses iron-phosphate for medium range cars made in our Shanghai factory.- A monocell is electrochemically impossible  as max voltage is ~100X too low. Maybe they meant cells bonded together  like our structural battery pack?,2020-12-22T20:43:18.000Z
@archillect Sparta’s reply to Macedon,2020-12-22T19:43:10.000Z
@LizClaman @Tesla @FoxBusiness @ClamanCountdown Hi Liz!,2020-12-21T19:00:31.000Z
Thanks to everyone who worked so hard to make Tesla successful. My heart goes out to you.,2020-12-21T13:04:16.000Z
@teslaownerssv Indeed,2020-12-21T13:02:48.000Z
@Kristennetten It was a seriously twisted affair  but all’s that ends well.,2020-12-21T11:21:24.000Z
@MKBHD They are  although it’s kind low-key. Tesla Superchargers are being made accessible to other electric cars.,2020-12-21T11:13:27.000Z
RT @SpaceX: Photos from yesterday’s launch and landing → https://t.co/095WHX44BX https://t.co/6ojFySuaxo,2020-12-20T21:31:49.000Z
@michael_saylor Are such large transactions even possible?,2020-12-20T15:20:03.000Z
♥️ i love all u crazy ppl out there ♥️,2020-12-20T10:16:43.000Z
@BizzzzzyD You have a point (sigh),2020-12-20T10:04:35.000Z
@pcgamer Great game,2020-12-20T09:53:56.000Z
@flcnhvy Pretty much. The main value of college used to be hanging out  having pseudo intellectual conversations &amp; partying with people your own age. Now  even that’s gone.,2020-12-20T09:51:15.000Z
Come for the comments  stay for the memes💄,2020-12-20T09:44:03.000Z
@padgeuk Absolutely. We will release FSD subscription early next year.,2020-12-20T09:37:27.000Z
One word: Doge,2020-12-20T09:30:04.000Z
Bitcoin is almost as bs as fiat money,2020-12-20T09:24:37.000Z
@hajek_miloslav Great nails &amp; lipstick,2020-12-20T09:21:01.000Z
@MightyTesla @Kristennetten @lauren_kalo @SawyerMerritt @jasondebolt @CodingMark @28delayslater @BabyTesla3 @4thRowPopcorn @IloveElonandTe1 Nice,2020-12-20T09:17:17.000Z
https://t.co/EbOjGshvrq,2020-12-20T08:54:26.000Z
@CallowayTech Sounds about right,2020-12-20T08:46:43.000Z
“Lord” Edge,2020-12-20T08:43:06.000Z
@xDreamCoding @frank_thelen Nice branding,2020-12-20T08:42:00.000Z
Just kidding  who needs a safe word anyway!?,2020-12-20T08:40:34.000Z
Bitcoin is my safe word,2020-12-20T08:21:25.000Z
RT @SpaceX: Falcon 9’s first stage has landed on Landing Zone 1 https://t.co/mR18Qv3GoC,2020-12-19T17:06:45.000Z
RT @SpaceX: Liftoff! https://t.co/AG4rAR6qNp,2020-12-19T17:06:40.000Z
@SpaceX Standing down for today to inspect rocket. Hopefully launching tomorrow.,2020-12-17T16:21:49.000Z
@SpaceX Pressure is slightly high in upper stage liquid oxygen tank. Review underway.,2020-12-17T15:17:14.000Z
@Tesla__Mania I am hoping to be back next month!,2020-12-17T15:03:47.000Z
@nytimes Very impressive mission by China!,2020-12-17T14:43:03.000Z
@SpaceX Last launch of 2020 coming up,2020-12-17T13:47:14.000Z
@teslaownerssv @astonmartin @Tesla He was indeed quite grumpy  but we did not actually know what we were doing  so he had a point,2020-12-17T07:10:05.000Z
@teslaownerssv It will get absurdly good. Tesla AI/Autopilot engineering is awesome! There’s some great AI out there  but can it self-drive while playing Cyberpunk … ?,2020-12-17T06:53:33.000Z
Star Light  Star Bright https://t.co/6CeTAZSXCO,2020-12-17T06:32:13.000Z
@Teslarati @13ericralph31 This is incorrect,2020-12-17T04:43:52.000Z
@TheBabylonBee 🤣🤣,2020-12-17T04:08:02.000Z
@pcgamer But it is visually stunning &amp; playability is good,2020-12-16T19:05:56.000Z
@pcgamer A t-shirt being better armor than a Kevlar chest plate doesn’t make sense in the absence of magic. Also  wish there weren’t level-based item limits in a single-player game.,2020-12-16T18:09:21.000Z
@cleantechnica Oh and umm … https://t.co/jtg944ERCy,2020-12-16T17:05:37.000Z
@cleantechnica I absolutely support trans  but all these pronouns are an esthetic nightmare,2020-12-16T16:59:48.000Z
@Erdayastronaut @flightclubio The Raptors were well below max thrust or the ship would have blown through the altitude limit. As we hit min throttle point  an engine would shut off.,2020-12-16T16:36:51.000Z
@Erdayastronaut @flightclubio Far from fully loaded  but we were going slow or the ship would have gone crazy high/far with three engines,2020-12-16T16:29:29.000Z
@picot_john @CyberpunkGame It’s a good to great game imo  but improving what may seem like mere surface detail would make it unequivocally great,2020-12-16T00:16:15.000Z
@truth_tesla @Tesmanian_com Perhaps slightly more confident  but it’s essential to view this as output vs time. As with all manufacturing  especially new technology  output will follow an S-curve. Very slow at first  but increasing exponentially  then linear  then logarithmic.,2020-12-16T00:13:00.000Z
@Tesmanian_com Dankeschön Brandenburg und Grünheide!,2020-12-15T23:11:17.000Z
@austinbarnard45 @lrocket Sure hope that future doesn’t come to pass!,2020-12-15T17:31:08.000Z
@Tesmanian_com Giga Berlin-Brandenburg will be the first to use our new structural pack architecture  4680 (world’s most advanced cells  made on-site)  both front &amp; rear body castings &amp; advanced paint shop. Warning: with so much new technology  production timing is naturally harder to predict.,2020-12-15T17:16:56.000Z
@Dota2funny1 @CyberpunkGame Original Deus Ex was incredible  Human Revolution was also great,2020-12-15T14:53:06.000Z
@CyberpunkGame The objective reality is that it is impossible to run an advanced game well on old hardware. This is a much more serious issue: https://t.co/OMNCTa9hJY,2020-12-15T14:43:07.000Z
RT @SpaceX: Starship landing flip maneuver https://t.co/QuD9HwZ9CX,2020-12-14T21:59:00.000Z
@TheOnion .@TheBabylonBee,2020-12-14T19:48:22.000Z
Ascent to the Heavens https://t.co/oGgsw88YRZ,2020-12-14T16:15:57.000Z
@engineers_feed 🤣,2020-12-14T16:02:30.000Z
@PPathole @CyberpunkGame Yeah  briefly. Seems pretty good. I picked Nomad  so start was a little slow  but picks up fast. Seemed like almost everyone on Steam was playing Cyberpunk at some point this weekend!,2020-12-14T15:57:08.000Z
@Zwiebelbach @its_menieb @CyberpunkGame https://t.co/aaYYPCPP1i,2020-12-14T15:25:57.000Z
Hehe https://t.co/SkLMiL3OxT,2020-12-14T15:12:18.000Z
@CyberpunkGame https://t.co/RHKsB40xqr,2020-12-14T13:57:47.000Z
@CyberpunkGame https://t.co/kmG7C9qF6h,2020-12-14T13:56:52.000Z
https://t.co/sdmXKbHdzd,2020-12-14T06:51:16.000Z
https://t.co/qbNT1dUsED,2020-12-14T06:11:07.000Z
RT @SpaceX: Falcon 9 launches SXM-7 to orbit  completing SpaceX’s 25th launch this year https://t.co/ZRur0ewNlv,2020-12-14T03:06:07.000Z
@QuantaMagazine init void,2020-12-13T15:39:41.000Z
@PPathole @ErcXspace @SpaceX *cooling haha,2020-12-12T18:47:57.000Z
@PPathole @ErcXspace @SpaceX I still have a soft spot in my heart for transpiration cooking. In theory  it would use more mass than a tile heatshield  but that remains to be seen.,2020-12-12T17:04:08.000Z
@ErcXspace @SpaceX Ship leeward side will be bare metal  windward will have black  hexagonal heat shield tiles,2020-12-12T00:47:09.000Z
RT @Pockn_CG: Can't wait!! @elonmusk #spacex #SpaceXStarship https://t.co/ynEtMywFvg,2020-12-11T20:14:46.000Z
@conexionspacial @Pockn_CG Yes,2020-12-11T14:00:48.000Z
@SpacePadreIsle @SpaceX Agreed  should be preserved in memory of SN8,2020-12-11T00:40:28.000Z
RT @SpaceX: Photos from Starship SN8’s flight test → https://t.co/095WHX44BX https://t.co/5OzLYF7QRf,2020-12-10T23:13:49.000Z
@NASASpaceflight @BocaChicaGal Exactly! Woohoo!!,2020-12-10T00:45:23.000Z
@Erdayastronaut @SpaceX SN8 did great! Even reaching apogee would’ve been great  so controlling all way to putting the crater in the right spot was epic!!,2020-12-10T00:18:59.000Z
Thank you  South Texas for your support! This is the gateway to Mars.,2020-12-10T00:10:39.000Z
Life  the Universe and Everything https://t.co/1ZCzInfc4u,2020-12-10T00:08:40.000Z
@Erdayastronaut Yeah  engines did great!,2020-12-09T23:44:18.000Z
Mars  here we come!!,2020-12-09T23:08:53.000Z
Fuel header tank pressure was low during landing burn  causing touchdown velocity to be high &amp; RUD  but we got all the data we needed! Congrats SpaceX team hell yeah!!,2020-12-09T23:07:39.000Z
Successful ascent  switchover to header tanks &amp; precise flap control to landing point! https://t.co/IIraiESg5M,2020-12-09T23:02:34.000Z
@TheBabylonBee 🤠,2020-12-09T18:13:21.000Z
